00000	79617	64408
00001	46944	30073
00003	87888	92453
00004	00923	52757
00004	06901	60768
00006	75668	44827
00008	14127	80375
00008	42640	31769
00008	83988	82751
00009	62596	40846
00010	07033	37120
00010	34219	20406
00011	82403	28011
00012	65947	40666
00012	81048	99778
00013	03274	03932
00013	18261	29743
00015	76789	73599
00015	87385	84507
00016	01356	41425
00016	02798	31126
00016	18630	36585
00016	61483	96910
00016	86395	62146
00019	12341	66790
00023	13335	78014
00025	33988	47289
00026	60913	21335
00026	65296	72306
00026	93790	42009
00027	43080	20680
00028	29352	21594
00031	55964	07390
00032	66446	43573
00033	64424	15853
00034	20173	69406
00035	11557	30374
00036	43253	06752
00036	50707	08535
00036	71297	18705
00036	90930	56885
00037	55749	98867
00039	78530	52194
00039	83646	04229
00039	88709	70894
00040	53562	57280
00041	28880	44053
00041	40775	89904
00042	26524	88869
00042	84737	14557
00044	51961	82398
00045	54515	15105
00045	77410	25189
00046	55499	24806
00046	92066	34116
00047	68594	11534
00049	99224	78288
00050	32357	56524
00051	29182	03846
00053	71241	15329
00053	79579	77098
00054	38863	73129
00054	67998	60895
00056	31548	92206
00057	18026	99680
00058	54579	43288
00059	64300	01218
00061	34051	94497
00062	19183	80542
00062	65591	57957
00063	90122	55351
00065	72538	51237
00065	99797	19071
00066	55076	50577
00069	08658	02968
00070	48230	15118
00072	22075	11727
00072	88865	62445
00073	27854	25369
00073	94156	12656
00074	19881	51947
00074	36748	77793
00075	14635	98912
00075	83384	74200
00076	55232	66192
00077	93571	03879
00078	50064	68065
00083	40688	33060
00084	38190	89710
00086	70733	06881
00086	94195	44209
00087	04538	85841
00087	33526	60187
00087	78680	50022
00088	13692	35374
00089	48476	05490
00091	56206	21386
00091	58238	76188
00091	91615	78876
00097	27420	93237
00098	37440	87240
00100	86879	49975
00101	10154	93015
00102	87738	89033
00102	99846	14759
00104	61052	08417
00105	50313	71592
00105	67040	04198
00106	24231	56597
00107	57453	48417
00107	81441	93412
00107	87374	97379
00109	11225	73944
00109	21488	80367
00110	01517	16035
00110	56916	15615
00110	65955	31354
00112	25809	53048
00112	26732	33247
00112	29724	80829
00112	73161	52072
00112	87769	39660
00113	74289	10313
00114	86157	73005
00115	55306	59877
00115	92490	43613
00116	22419	31984
00116	59716	53366
00117	21905	23629
00118	02609	41653
00119	18976	67393
00121	10876	34332
00122	10507	14359
00123	35431	62268
00123	76932	72374
00124	88089	53934
00127	05677	85744
00127	28561	22157
00128	94699	07825
00129	41657	31939
00129	93787	03889
00135	70571	34793
00135	92209	86747
00137	07527	92939
00137	15769	44719
00138	36839	26628
00138	55112	20251
00138	71084	00221
00139	14819	60981
00139	34921	18479
00139	73303	35377
00139	96885	07584
00140	50944	63207
00141	53168	73876
00142	12068	19250
00142	14635	95678
00143	13441	49003
00143	39717	65894
00144	68452	04944
00146	23922	88074
00147	37017	49868
00147	81146	80179
00147	95249	67701
00148	69782	80910
00148	86799	32094
00151	07383	11531
00152	41356	84977
00152	63548	96131
00153	53687	56193
00154	03350	51949
00154	46659	76127
00154	81939	19799
00155	30918	06395
00156	96562	61744
00158	27159	64552
00158	27776	40466
00159	15924	11444
00159	95631	38480
00160	23895	23955
00160	43477	85358
00161	17609	31143
00161	25086	03293
00161	29239	83155
00161	59353	40137
00164	18319	39400
00165	67229	11206
00166	12918	61492
00167	66490	10448
00167	79549	44589
00172	15154	08081
00172	68476	25931
00173	12073	22584
00173	24568	23370
00173	65945	05917
00173	90108	73171
00174	99338	85233
00175	35554	87788
00175	84284	04012
00177	10899	36742
00178	41606	10553
00178	64623	12721
00180	84663	90438
00183	61608	34682
00184	65620	97801
00184	87891	05763
00185	92743	10120
00186	31939	40649
00187	47346	65110
00187	54680	10633
00188	18074	12398
00188	72239	18105
00190	90990	82846
00195	59341	82132
00195	84803	11896
00196	56553	64428
00196	72068	88064
00196	77233	79559
00197	41212	68025
00198	36733	47680
00198	56259	93412
00198	67944	84728
00199	06876	29154
00200	55064	43256
00202	34897	85741
00204	21179	98697
00204	43306	72618
00205	06637	81992
00206	02655	96422
00207	26119	90085
00207	35110	76198
00207	39402	25220
00208	46190	69896
00208	67338	52432
00208	71141	74537
00208	71476	06972
00210	28196	03320
00210	30459	68497
00210	97920	96423
00212	76450	40568
00213	12812	08080
00215	14785	68492
00215	22450	70611
00216	81055	93811
00217	37219	37198
00217	71293	27015
00220	61521	64045
00221	62961	24335
00223	94637	83893
00224	06774	46668
00224	89412	81924
00228	02046	09118
00229	47889	90442
00229	94829	81707
00230	24991	31887
00231	74753	90391
00232	69159	79537
00232	87178	34482
00232	95559	01758
00235	03736	91165
00237	03008	79815
00237	13256	90179
00237	94351	11639
00238	13934	60790
00238	88379	42650
00240	30757	45570
00241	37035	26135
00241	79231	88192
00242	48598	22407
00243	53935	06721
00244	08592	02929
00244	64579	93907
00246	07168	83208
00246	90858	55695
00247	23144	95526
00247	69592	99836
00248	12855	45049
00248	79737	24200
00250	57102	23090
00251	19034	80924
00253	37810	54505
00255	47051	43867
00255	96167	38998
00258	09920	98745
00258	76155	50356
00259	01220	29736
00259	13702	47134
00260	28305	46035
00262	16886	71115
00264	28332	75803
00264	91659	10348
00265	25423	33478
00267	23201	52466
00267	94040	91632
00268	13048	83709
00268	21928	43793
00274	21784	05455
00274	32029	21790
00275	47664	32416
00279	16209	61619
00279	51177	15400
00281	00611	90303
00281	07713	11750
00281	43512	77488
00283	49541	95935
00284	11476	69485
00284	32705	01506
00285	28864	81969
00285	39494	35295
00285	54426	32727
00288	46072	35467
00288	88439	66889
00290	77297	70683
00292	85328	61271
00294	46877	37255
00295	39750	91703
00296	45150	43418
00296	46655	64352
00296	90773	18579
00297	55779	39269
00298	36131	81406
00300	14996	49242
00300	40615	17850
00300	66932	34381
00302	02575	66577
00302	71970	15001
00303	00809	59345
00303	56505	66683
00304	63093	62884
00304	77604	59032
00308	00353	78078
00308	92002	88982
00310	59162	69229
00311	25988	40284
00312	61896	38177
00315	37959	15349
00315	60745	01842
00316	18455	71821
00316	71437	18526
00317	06977	30288
00317	96258	08312
00318	91532	78682
00320	02278	20598
00320	97087	39631
00321	02738	70947
00321	25123	43430
00322	02545	36142
00323	21687	50621
00323	72943	81888
00324	44059	14037
00327	45633	68457
00327	65322	93867
00329	39742	35427
00329	65848	86324
00330	01858	37368
00330	50430	55818
00330	54345	75336
00331	20073	91877
00331	60014	38457
00333	59776	26740
00333	80643	87232
00333	83444	33316
00335	02896	13856
00337	06263	84762
00339	59740	38748
00340	16055	23773
00340	98969	36417
00341	92765	30981
00342	59864	50271
00342	74553	88347
00344	56697	41377
00345	51749	44412
00346	11889	41072
00346	13009	81471
00346	47339	12742
00347	25445	82426
00347	49878	33536
00351	08109	02665
00352	78419	64584
00353	25935	81679
00354	65012	85272
00354	84592	57849
00358	20742	59880
00359	15627	07894
00361	38805	77423
00361	38946	82329
00361	85137	27559
00362	63298	85062
00363	14921	25698
00364	00691	85205
00368	75689	56325
00370	51061	66689
00370	82086	45368
00371	15170	97971
00371	46775	84201
00372	03587	40712
00373	11623	77834
00373	26811	11982
00374	93915	08681
00378	36072	58056
00380	53595	10473
00381	93450	27400
00383	30645	93946
00383	70146	26059
00384	56952	73978
00386	80610	14716
00388	37082	92251
00389	99199	00131
00391	97746	08252
