685	443	144	942	409
476	486	728	969	705
492	090	109	753	428
621	528	018	930	185
602	412	353	924	548
045	227	562	612	178
063	653	728	647	224
543	876	174	568	976
358	414	368	768	151
604	862	343	007	783
205	537	184	481	224
196	457	159	781	532
153	513	860	512	440
928	008	583	588	558
654	820	367	978	990
241	270	442	937	831
854	260	989	868	515
085	566	266	156	602
979	511	760	648	365
174	175	926	608	604
228	471	110	260	462
941	114	286	112	671
964	877	474	375	533
593	270	611	658	764
124	674	507	380	347
131	250	133	242	096
450	833	103	843	377
492	067	779	449	260
906	396	867	321	520
329	442	503	157	116
864	186	167	917	626
132	102	776	491	763
668	039	532	276	131
681	016	941	382	368
001	735	499	801	295
620	037	764	797	368
292	242	613	396	947
924	781	650	631	211
768	977	781	843	012
986	181	773	629	674
899	692	218	197	850
904	980	800	979	654
933	634	630	268	730
498	080	088	572	732
233	795	956	534	281
115	569	074	152	213
785	725	402	650	952
127	846	047	248	083
906	587	362	010	306
887	468	117	087	529
666	604	353	326	467
584	862	545	551	656
866	565	093	123	885
587	620	492	841	652
656	097	917	824	244
054	930	577	384	926
258	713	800	582	658
019	429	461	500	287
487	961	865	854	542
009	507	674	102	242
780	341	048	231	366
577	943	062	877	524
769	056	364	112	829
871	048	519	137	719
788	118	656	449	400
689	094	215	050	206
899	614	116	414	717
390	616	117	928	488
905	276	068	383	140
327	294	550	888	319
802	270	725	608	136
219	584	048	195	161
969	163	454	923	868
261	002	341	185	378
818	140	647	866	172
